,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Quantity_Imputed,Price Per Unit_Imputed,Total Spent_Imputed,Payment Method_Missing,Location_encoded,Item_Was_Missing,Date_Was_Missing
107,9547091,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-08,0,0,0,0,0,0,0
108,4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,0,0,0,0,0,0,0
109,4174591,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-08-30,0,0,0,0,1,0,0
110,3398520,Sandwich,1.0,4.0,4.0,Missing,In-store,2023-02-03,0,0,0,1,1,0,0
111,6171384,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-09-12,0,0,0,0,1,0,0
112,2530938,Smoothie,5.0,4.0,20.0,Missing,Takeaway,2023-04-27,0,0,0,1,0,0,0
113,3314971,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-05-04,0,0,0,0,1,0,0
114,3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-02-21,0,0,0,0,0,0,0
115,1001832,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-02-21,0,0,0,0,0,0,1
116,1535311,Juice,3.0,3.0,9.0,Cash,In-store,2023-03-16,0,0,0,0,1,0,0
117,2148617,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-01-10,0,0,0,0,1,0,0
118,4633784,ERROR,5.0,3.0,15.0,Missing,In-store,2023-02-06,0,0,0,1,1,0,0
119,4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,0,0,0,0,0,0,0
120,9790731,Cake,2.0,3.0,6.0,Missing,In-store,2023-06-02,0,0,0,1,1,0,0
121,9339456,Coffee,3.0,2.0,6.0,Missing,Takeaway,2023-03-29,0,0,0,1,0,0,0
122,5179020,Cake,2.0,3.0,6.0,Missing,Takeaway,2023-06-18,0,0,0,1,0,0,0
123,6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,0,0,0,0,1,0,0
124,7945375,Juice,3.0,3.0,9.0,Missing,In-store,2023-01-14,0,0,0,1,1,0,0
125,4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,0,0,0,0,1,0,0
126,9646452,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-09-16,0,0,0,0,1,0,0
127,9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,0,0,0,0,0,0,0
128,5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,0,0,0,0,0,0,0
129,3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,0,0,0,0,1,0,0
130,2277042,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-04-08,0,0,0,0,0,0,0
131,9273729,Tea,1.0,1.5,1.5,Missing,Takeaway,2023-12-19,0,0,0,1,0,0,0
132,2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,0,0,0,0,0,0,0
133,1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,0,0,0,0,1,0,0
134,1443912,Juice,2.0,3.0,6.0,Missing,In-store,2023-06-08,0,0,0,1,1,0,0
135,8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,0,0,0,0,0,0,0
136,6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,0,0,0,0,1,0,0
137,4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,0,0,0,0,1,0,0
138,3972167,Sandwich,5.0,4.0,20.0,Missing,In-store,2023-01-23,0,0,0,1,1,0,0
139,4878378,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-02-20,0,0,0,0,0,0,0
140,2484241,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-07-19,0,0,0,0,1,0,0
141,2368126,Cake,5.0,3.0,15.0,Missing,In-store,2023-12-06,0,0,0,1,1,0,0
142,7943008,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-12-06,0,0,0,0,0,0,1
143,8495063,Juice,1.0,3.0,3.0,Cash,In-store,2023-05-31,0,0,0,0,1,0,0
144,4811133,Salad,2.0,5.0,10.0,Cash,In-store,2023-08-11,0,0,0,0,1,0,0
145,8729570,Tea,5.0,1.5,7.5,Missing,In-store,2023-09-03,0,0,0,1,1,0,0
146,7623634,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,0,0,0,0,1,0,0
147,9336980,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06,0,0,0,0,1,0,0
148,3424331,Cake,4.0,3.0,12.0,Missing,Takeaway,2023-01-18,0,0,0,1,0,0,0
149,5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,0,0,0,0,0,0,0
150,8687151,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10,0,0,0,0,0,0,0
151,4031509,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-01-04,0,0,0,0,0,1,0
152,5265095,Coffee,1.0,2.0,2.0,Missing,Takeaway,2023-06-23,0,0,0,1,0,0,0
153,6541415,UNKNOWN,4.0,3.0,12.0,Cash,In-store,2023-11-25,0,0,0,0,1,0,0
154,4108138,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-03,0,0,0,0,0,0,0
155,1909796,Smoothie,2.0,4.0,8.0,Missing,Takeaway,2023-07-12,0,0,0,1,0,0,0
156,1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,0,0,0,0,1,0,0
157,4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,0,0,0,0,1,0,0
158,8013032,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-07,0,0,0,0,0,0,0
159,8301424,Juice,2.0,3.0,6.0,Missing,In-store,2023-06-27,0,0,0,1,1,0,0
160,1093800,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-06-27,0,0,0,0,0,0,1
161,7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02,0,0,0,0,1,0,0
162,9238666,Cookie,1.0,1.0,1.0,Missing,Takeaway,2023-07-31,0,0,0,1,0,0,0
163,1631695,Tea,2.0,1.5,3.0,Missing,In-store,2023-09-19,0,0,0,1,1,0,0
164,1435086,Cake,5.0,3.0,15.0,Missing,In-store,2023-02-09,0,0,0,1,1,0,0
165,3226832,UNKNOWN,5.0,4.0,20.0,Cash,In-store,2023-09-04,0,0,0,0,1,0,0
166,1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,0,0,0,0,0,0,0
167,4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,0,0,0,0,1,0,0
168,3494565,Sandwich,2.0,4.0,8.0,Missing,In-store,2023-07-10,0,0,0,1,1,1,0
169,9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,0,0,0,0,1,0,0
170,4689500,Sandwich,4.0,4.0,16.0,Missing,Takeaway,2023-12-02,0,0,0,1,0,0,0
171,8989148,Tea,2.0,1.5,3.0,Missing,In-store,2023-11-25,0,0,0,1,1,0,0
172,8316826,Coffee,3.0,2.0,6.0,Missing,In-store,2023-04-17,0,0,0,1,1,0,0
173,9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,0,0,0,0,1,0,0
174,8005489,Cake,3.0,3.0,9.0,Missing,In-store,2023-08-12,0,0,0,1,1,0,0
175,6463132,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-08-12,0,0,0,0,0,0,1
176,3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,0,0,0,0,1,0,0
177,1896955,Salad,5.0,5.0,25.0,Missing,In-store,2023-09-23,0,0,0,1,1,0,0
178,5075974,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-11,0,0,0,0,0,0,0
179,3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,0,0,0,0,1,0,0
180,8955912,Sandwich,1.0,4.0,4.0,Missing,In-store,2023-11-07,0,0,0,1,1,0,0
181,1136554,Smoothie,3.0,4.0,12.0,Missing,Takeaway,2023-03-26,0,0,0,1,0,0,0
182,8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,0,0,0,0,0,0,0
183,8129834,Salad,1.0,5.0,5.0,Cash,In-store,2023-07-22,0,0,0,0,1,0,0
184,3831848,UNKNOWN,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,0,0,0,0,0,0,0
185,5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,0,0,0,0,1,0,0
186,8166407,Smoothie,2.0,4.0,8.0,Missing,In-store,2023-07-26,0,0,0,1,1,0,0
187,6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,0,0,0,0,1,0,0
188,3833797,Coffee,4.0,2.0,8.0,Missing,In-store,2023-01-27,0,0,0,1,1,0,0
189,2643815,Cookie,3.0,1.0,3.0,Missing,Takeaway,2023-12-06,0,0,0,1,0,0,0
190,2996519,Cake,5.0,3.0,15.0,Cash,In-store,2023-01-19,0,0,0,0,1,0,0
191,8810894,Smoothie,1.0,4.0,4.0,Missing,In-store,2023-02-20,0,0,0,1,1,0,0
192,7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,0,0,0,0,1,0,0
193,3937509,Smoothie,2.0,4.0,8.0,Missing,In-store,2023-03-20,0,0,0,1,1,0,0
194,6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,0,0,0,0,0,0,0
195,1714274,Cookie,4.0,1.0,4.0,Missing,In-store,2023-12-27,0,0,0,1,1,0,0
196,3800182,Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26,0,0,0,0,1,0,0
197,5115080,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-02-18,0,0,0,0,1,1,0
198,9788956,Juice,4.0,3.0,12.0,Missing,Takeaway,2023-04-11,0,0,0,1,0,0,0
199,6311602,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-05-15,0,0,0,0,1,0,0
200,2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,0,0,0,0,0,0,0
201,6749847,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-08-15,0,0,0,0,1,0,0
202,2143187,Smoothie,1.0,4.0,4.0,Missing,In-store,2023-04-21,0,0,0,1,1,0,0
203,8964522,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,0,0,0,0,0,1,0
204,4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,0,0,0,0,0,0,0
205,3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,0,0,0,0,1,0,0
206,7724048,Smoothie,1.0,4.0,4.0,Missing,In-store,2023-11-12,0,0,0,1,1,0,0
207,2698591,Tea,5.0,1.5,7.5,Missing,In-store,2023-08-05,0,0,0,1,1,0,0
208,3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,0,0,0,0,1,0,0
209,4129248,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-05-10,0,0,0,0,1,0,1
210,6498163,Smoothie,5.0,4.0,20.0,Missing,In-store,2023-07-15,0,0,0,1,1,0,0
211,6717827,ERROR,3.0,5.0,15.0,Digital Wallet,In-store,2023-11-15,0,0,0,0,1,0,0
212,9089898,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-01-11,0,0,0,0,1,0,0
213,8587583,Cake,1.0,3.0,3.0,Missing,In-store,2023-10-01,0,0,0,1,1,0,0
214,8693704,Salad,5.0,5.0,25.0,Cash,In-store,2023-05-04,0,0,0,0,1,0,0
215,3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,0,0,0,0,1,0,0
216,3499124,ERROR,4.0,4.0,16.0,Credit Card,Takeaway,2023-08-25,0,0,0,0,0,0,0
217,9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,0,0,0,0,1,0,0
218,7058377,Juice,1.0,3.0,3.0,Missing,Takeaway,2023-04-30,0,0,0,1,0,0,0
219,6766492,Salad,1.0,5.0,5.0,Missing,In-store,2023-01-14,0,0,0,1,1,0,0
220,9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,0,0,0,0,1,0,0
221,4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,0,0,0,0,1,0,0
222,7433461,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-07-09,0,0,0,0,0,0,0
223,4068262,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-05-13,0,0,0,0,1,0,0
224,5761073,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-13,0,0,0,0,1,0,1
225,5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,0,0,0,0,0,0,0
226,6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,0,0,0,0,0,0,0
227,2651216,UNKNOWN,3.0,4.0,12.0,Missing,In-store,2023-04-04,0,0,0,1,1,0,0
228,9350833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17,0,0,0,0,0,0,0
229,8377564,Cake,5.0,3.0,15.0,Missing,In-store,2023-07-14,0,0,0,1,1,0,0
230,7031118,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-03-29,0,0,0,0,1,0,0
231,2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,0,0,0,0,0,0,0
232,6446616,Tea,3.0,1.5,4.5,Missing,In-store,2023-09-30,0,0,0,1,1,0,0
233,1721827,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-08-22,0,0,0,0,0,0,0
234,6334895,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-07-27,0,0,0,0,1,0,0
235,7077119,ERROR,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,0,0,0,0,1,0,0
236,8562645,Salad,5.0,5.0,25.0,Missing,In-store,2023-05-18,1,0,1,1,1,0,0
237,4700144,Coffee,4.0,2.0,8.0,Missing,In-store,2023-12-21,0,0,0,1,1,0,0
238,5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,0,0,0,0,1,0,0
239,6846228,Salad,3.0,5.0,15.0,Missing,In-store,2023-11-16,0,0,0,1,1,0,0
240,8570890,Juice,4.0,3.0,12.0,Missing,Takeaway,2023-04-14,0,0,0,1,0,0,0
241,3205009,ERROR,2.0,1.5,3.0,Cash,In-store,2023-01-03,0,0,0,0,1,0,0
242,3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,0,0,0,0,1,0,0
243,4530804,Coffee,4.0,2.0,8.0,Missing,Takeaway,2023-01-12,0,0,0,1,0,0,0
244,9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,0,0,0,0,1,0,0
245,7328294,Juice,2.0,3.0,6.0,Cash,In-store,2023-07-07,0,0,0,0,1,0,0
246,1908636,Tea,2.0,1.5,3.0,Missing,In-store,2023-07-07,0,0,0,1,1,0,1
247,9238066,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,0,0,0,0,1,1,0
248,5415901,Cake,2.0,3.0,6.0,Digital Wallet,In-store,2023-10-21,0,0,0,0,1,0,0
249,6714420,ERROR,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,0,0,0,0,0,0,0
250,6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,0,0,0,0,0,0,0
251,7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,0,0,0,0,1,0,0
252,7549542,Cookie,5.0,1.0,5.0,Missing,Takeaway,2023-12-13,0,0,0,1,0,0,1
253,3544789,Tea,4.0,1.5,6.0,Missing,In-store,2023-07-14,0,0,0,1,1,0,0
254,1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,0,0,0,0,1,0,0
255,8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,0,0,0,0,0,0,0
